RecordType	SystemIdentity	FileNum	SwitchNum	CallingNum	CallingIMSI	CalledNum	CalledIMSI	DateS	TimeS	TimeType	CallPeriod	CallingCellID	CalledCellID	ServiceType	Transfer	IncomingTrunk	OutgoingTrunk	MSRN	CalledNum2	FCIFlag	callrecTime	EventProcessedUtcTime	PartitionId	EventEnqueuedUtcTime
MO	d0	97	Australia	345647259	466922000696024	456767603	466922202546859	20220412		1	782			a	1		409	1417955696232			2022-04-12T04:02:05Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:57.3370000Z
MO	d0	631	UK	567894582	466923101048691	678931336	466923300236137	20220412		1	0			V	1		F	886932429242			2022-04-12T03:38:57Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:57.5090000Z
MO	d0	638	US	123477907	262021390056324	345648364	466923300236137	20220412		0	0			b	0		420	886932423548			2022-04-12T03:38:58Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:58.2020000Z
MO	d0	642	Germany	123416614	466922202679249	234547734	466922702346260	20220412		3	0			S	1		F	886932428258			2022-04-12T03:38:58Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:58.5140000Z
MO	d0	644	Australia	789081598	466923101048691	678968017	466922202546859	20220412		3	0			a	0		442	1416955584542			2022-04-12T03:38:58Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:58.6710000Z
MO	d0	650	UK	789067770	466921602131264	234554212	262021390056324	20220412		2	0			b	0		402	886932423548			2022-04-12T03:38:59Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:59.1710000Z
MO	d0	101	UK	567828681	466922202679249	456745741	466920403025604	20220412		1	539			V	1		419	1416916990491			2022-04-12T03:38:06Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:59.2330000Z
MO	d0	652	Germany	012384160	466921602131264	678976352	466920403025604	20220412		2	0			a	0		402	886932428242			2022-04-12T03:38:59Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:59.3900000Z
MO	d0	656	Australia	789011885	466923101048691	012335472	466921602131264	20220412		1	0			a	0		418	1412930064972			2022-04-12T03:38:59Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:38:59.7020000Z
MO	d0	666	Australia	678973790	466922000696024	234547476	466923300507919	20220412		3	0			a	1		300	886932428688			2022-04-12T03:39:00Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:00.5770000Z
MO	d0	668	China	678947883	466922000696024	567824312	466922702341485	20220412		0	0			V	0		419				2022-04-12T03:39:00Z	2022-04-12T03:40:17.8460715Z	1	2022-04-12T03:39:00.7340000Z
